vibration;inclination;humidity;precipitation;output
278.2;34.83;0.56;4.25;1
291.4;34.83;0.56;4.25;1
306.5;34.83;0.56;3.4;1
160;31.28;0.36;2.55;1
160;31.25;0.34;2.55;1
160;31.49;0.33;2.55;1
160;31.27;0.32;2.55;1
160;31.07;0.33;2.55;1
160;31.37;0.37;2.55;1
160;31.69;0.31;2.55;1
160;31.47;0.32;2.55;1
160;31.33;0.36;2.55;1
160;35.84;0.36;2.55;1
160;31.38;0.37;2.55;1
160;30.8;0.37;2.55;1
160;31.16;0.35;2.55;1
160;31.15;0.36;2.55;1
160;31.72;0.36;2.55;1
160;34.83;0.54;2.55;1
160;31.21;0.36;2.55;1
160;31.65;0.3;2.55;1
160;33.56;0.29;2.55;1
160;31.86;0.37;2.55;1
160;41.26;0.52;2.55;1
160;34.83;0.53;2.55;1
160;34;0.35;2.55;1
160;45.12;0.34;2.55;1
160;50;0.55;2.55;1
160;34;0.34;2.55;1
160;34;0.37;2.55;1
160;45.45;0.29;2.55;1
160;31.49;0.35;2.55;1
169.6;26.9;0.27;2.55;1
178.4;41.46;0.55;2.55;1
180.5;34.83;0.55;2.55;1
211.3;34.83;0.52;2.55;1
221.7;34;0.37;2.55;1
224.4;34.83;0.55;2.55;1
233.3;37.46;0.52;2.55;1
234.5;34;0.38;2.55;1
259.6;27.73;0.33;2.55;1
298;33.29;0.53;2.55;1
312.2;34;0.36;2.55;1
343.1;34.83;0.53;2.55;1
372.7;34.83;0.56;2.55;1
380.5;44.15;0.26;2.55;1
405;34.83;0.51;2.55;1
428.7;34.93;0.36;2.55;1
483.9;34;0.32;2.55;1
611.5;34;0.27;2.55;1
1573.1;42.96;0.3;2.55;1
160;34;0.34;1.7;1
489.7;42.79;0.53;1.7;1
580.5;34.83;0.48;1.7;1
160;42.31;0.54;0.85;1
160;44.78;0.32;0.85;1
160;38.36;0.54;0.85;1
160;43.62;0.54;0.85;1
158.1;44.38;0.52;0.85;1
435.6;50.82;0.51;0.85;1
536.7;34.83;0.52;0.85;1
757.6;42.14;0.53;0.85;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.66;0.085;1
170;38.25;0.65;0.085;1
170;38.25;0.65;0.085;1
170;38.25;0.65;0.085;1
170;38.25;0.65;0.085;1
170;38.25;0.66;0.0765;1
170;38.25;0.66;0.068;1
170;47.25;0.67;0.0595;1
170;56.01;0.65;0.0255;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;34;0.29;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;36.56;0.66;0;1
160;43.97;0.26;0;1
160;34;0.27;0;1
160;30.83;0.02;0;1
160;55;0.62;0;1
160;34;0.17;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;36.53;0.66;0;1
160;41.55;0.3;0;1
160;34;0.25;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;45.45;0.19;0;1
160;45.19;0.54;0;1
160;42.68;0.22;0;1
160;34;0.31;0;1
160;40.28;0.2;0;1
160;34;0.06;0;1
160;55;0.62;0;1
160;42.27;0.23;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;46.34;0.13;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;42.92;0.1;0;1
160;40.9;0;0;1
160;36.15;0.66;0;1
160;55;0.62;0;1
160;37.46;0.54;0;1
160;55;0.62;0;1
160;55;0.62;0;1
160;33.8;0.54;0;1
180;44.51;0.54;0;1
582.9;55;0.62;0;1
700.5;56.24;0.6;0;1
873.4;30.6;0.41;0;1
1656.2;54.04;0.6;0;1
2713.7;55;0.64;0;1
